RA,Ano_Referencia,Fase,INDE,IAN,IDA,IEG,IPS,IPP,IPV,Probabilidade_Risco,Risco_Real_2024,Classificacao_Modelo
RA-1071,2023,FASE 1,6.414033333,5.0,3.5,8.6,7.52,5.625,6.396666667,0.8248587601796743,1,1
RA-587,2023,FASE 1,6.032033333,5.0,2.7,7.0,7.52,6.458333333,6.72,0.822482690996457,1,1
RA-1143,2023,FASE 3,6.445933333,5.0,5.3,7.0,6.26,7.5,6.2075,0.8193483187070134,1,1
RA-897,2023,ALFA,5.48225,5.0,6.5,8.1,7.52,6.5625,3.32,0.8170742524860853,1,1
RA-851,2023,ALFA,6.1683,5.0,6.6,7.5,2.52,5.625,6.01,0.8121734291375102,1,1
RA-514,2023,FASE 1,5.823133333,5.0,5.5,7.5,2.52,5.0,5.896666667,0.8114600351542115,0,1
RA-822,2023,ALFA,6.4497,5.0,7.1,8.4,2.52,5.625,5.925,0.8069858273234635,1,1
RA-422,2023,FASE 2,5.57,5.0,4.4,7.8,7.52,6.666666667,6.106666667,0.7986185823813005,1,1
RA-750,2023,ALFA,5.6857,5.0,3.4,7.7,3.14,4.375,6.32,0.7926257450499138,1,1
RA-131,2023,FASE 5,5.952358333,5.0,2.2,7.8,5.0,7.65625,6.8,0.789858561206679,1,1
RA-466,2023,FASE 2,6.595533333,5.0,4.5,7.6,6.89,6.25,7.056666667,0.7869412180043625,1,1
RA-699,2023,FASE 1,6.389991667,5.0,6.0,8.3,3.77,5.78125,6.173333333,0.7854728619391926,1,1
RA-754,2023,ALFA,6.0537,5.0,5.6,6.1,2.52,6.875,6.67,0.7853039733433536,1,1
RA-454,2023,FASE 3,4.603416667,5.0,2.6,7.5,5.0,4.6875,5.54,0.7791531295334722,1,1
RA-850,2023,ALFA,6.06525,5.0,7.3,7.9,6.26,6.5625,6.265,0.7782640112434231,1,1
RA-944,2023,ALFA,7.0687,5.0,7.5,7.6,7.52,5.625,6.67,0.7776530552899515,1,1
RA-747,2023,FASE 1,6.026366667,5.0,3.1,8.0,3.14,6.041666667,6.94,0.7771289340868938,1,1
RA-741,2023,ALFA,6.2707,5.0,5.1,6.9,4.39,5.625,7.095,0.7716574202975732,1,1
RA-756,2023,ALFA,7.0927,5.0,6.1,8.7,7.52,5.625,6.59,0.7710787925778262,1,1
RA-192,2023,FASE 4,6.616016667,5.0,6.5,6.2,5.0,7.1875,7.3775,0.7658896251866738,1,1
RA-911,2023,ALFA,5.59545,5.0,3.4,6.7,2.52,5.3125,7.01,0.7643929092699094,1,1
RA-164,2023,FASE 5,5.638666667,5.0,5.8,8.2,2.52,6.875,6.9625,0.7616779249100876,1,1
RA-484,2023,FASE 2,5.515466667,5.0,3.6,7.5,2.52,5.416666667,6.8,0.7599293500347131,0,1
RA-847,2023,ALFA,6.5418,5.0,7.6,9.1,2.52,5.0,5.84,0.7526678425242364,1,1
RA-712,2023,FASE 1,6.331533333,5.0,6.7,5.6,3.14,7.5,6.836666667,0.7522218574899906,1,1
RA-774,2023,ALFA,5.852,5.0,6.9,9.5,3.14,5.0,6.34,0.7480893439926892,1,1
RA-719,2023,ALFA,6.4137,5.0,5.9,5.3,7.52,5.625,7.095,0.7475933070866293,1,1
RA-806,2023,ALFA,7.2937,5.0,7.8,8.3,6.27,6.875,7.095,0.7469319770872667,1,1
RA-955,2023,ALFA,7.1297,5.0,7.8,8.8,3.14,6.875,7.09,0.7450455333753865,1,1
RA-262,2023,FASE 4,4.406458333,5.0,3.8,3.7,5.0,7.03125,6.05,0.7438581381902294,1,1
RA-776,2023,FASE 1,5.567916667,5.0,3.5,7.0,7.52,7.8125,7.223333333,0.7434325271675051,1,1
RA-797,2023,FASE 1,7.373033333,5.0,7.5,8.6,7.52,6.041666667,7.233333333,0.7403130281082235,1,1
RA-497,2023,FASE 2,5.7191,5.0,3.5,8.7,2.52,6.25,6.885,0.7393072899900344,1,1
RA-1170,2023,FASE 3,6.874683333,5.0,5.9,7.7,7.52,7.1875,6.5775,0.7389663587434965,1,1
RA-1031,2023,FASE 1,7.0602,5.0,5.9,8.8,7.52,6.666666667,7.006666667,0.7341368758154084,1,1
RA-874,2023,ALFA,5.811,5.0,4.8,8.2,7.52,6.25,6.67,0.7320188925627106,1,1
RA-714,2023,FASE 1,6.078666667,5.0,7.4,8.0,3.14,7.5,7.223333333,0.7277348102790343,1,1
RA-555,2023,FASE 2,5.898133333,5.0,3.9,8.1,2.52,6.25,6.946666667,0.7273997257917635,1,1
RA-967,2023,ALFA,7.1347,5.0,6.5,8.0,7.52,5.625,7.35,0.7273499879671981,1,1
RA-303,2023,FASE 3,5.914291667,5.0,5.1,7.3,7.52,7.65625,7.05,0.7269802830172828,1,1
RA-798,2023,FASE 1,7.018033333,5.0,6.1,8.1,7.52,6.458333333,6.95,0.7267821060070287,1,1
RA-387,2023,FASE 3,4.794333333,5.0,3.0,6.8,2.52,6.875,7.0075,0.7261980360666321,1,1
RA-474,2023,FASE 3,5.283583333,5.0,3.3,7.8,5.0,7.1875,6.7575,0.7250020365736642,1,1
RA-995,2023,ALFA,6.4782,5.0,5.1,7.9,3.77,6.25,7.18,0.724579910742495,1,1
RA-1157,2023,FASE 3,7.086633333,5.0,5.7,8.8,6.26,7.5,7.0025,0.7239874134251694,1,1
RA-631,2023,FASE 2,5.954666667,5.0,7.0,6.4,6.27,7.916666667,6.78,0.7237533419675192,0,1
RA-171,2023,FASE 5,6.293083333,5.0,5.2,7.2,5.0,7.1875,6.755,0.7229150108201331,1,1
RA-1055,2023,FASE 1,5.9765,5.0,5.5,7.2,7.52,7.291666667,7.276666667,0.7192334482541112,1,1
RA-805,2023,ALFA,6.492,5.0,6.8,9.1,7.52,6.25,7.175,0.7178391159582413,1,1
RA-663,2023,FASE 1,6.969133333,5.0,7.0,7.4,7.52,6.666666667,7.393333333,0.7146133227818309,1,1
RA-1147,2023,FASE 3,7.072983333,5.0,6.7,8.3,6.26,7.1875,7.0075,0.7118594885036404,1,1
RA-731,2023,FASE 1,6.7742,5.0,6.8,7.6,3.14,7.5,7.45,0.7106331961481541,1,1
RA-709,2023,ALFA,6.6927,5.0,4.9,7.9,7.52,5.625,6.59,0.7092246895008418,1,1
RA-672,2023,ALFA,6.5623,5.0,6.4,9.5,2.52,5.625,6.43,0.7091349574610122,1,1
RA-125,2023,FASE 5,6.989633333,5.0,5.8,7.7,5.0,8.125,7.835,0.7024688714174656,1,1
RA-594,2023,FASE 1,6.702033333,5.0,5.8,7.1,6.27,6.875,7.336666667,0.7023555959296425,0,1
RA-115,2023,FASE 5,6.319141667,5.0,4.2,7.1,5.0,7.34375,7.215,0.7017995497214924,1,1
