Variavel,Importancia_Media,Desvio
IAN,0.10883656824575866,0.013674699107865087
IPV,0.030007483399168353,0.006560090615739505
Fase,0.02912415811759362,0.0032013760432053526
Idade,0.018056305474248656,0.002125118171323881
INDE,0.016372067028522237,0.006540437905243093
Matematica,0.008945030170413133,0.0021619264321871756
Portugues,0.00680515691456615,0.0015499606175516764
Ano_Ingresso,0.006342891244422999,0.0010782245527855877
IPS,0.004976934079778772,0.0009477292906433472
IEG,0.003937783587674226,0.00213392045376152
IAA,0.0018305909990811978,0.0010889642429159079
Ingles,0.0014100050205083426,0.0005825214361536079
IDA,0.0009520020460939804,0.0012873477021324066
Ano_Referencia,0.0,0.0
Gênero,0.0,0.0
Instituicao,0.0,0.0
IPP,0.0,0.0
Pedra_Atual,-0.0018708497920751318,0.0019192910207432791
