RA,Ano_Referencia,Fase,INDE,IAN,IDA,IEG,IPS,IPP,IPV,Probabilidade_Risco,Risco_Real_2024,Classificacao_Modelo
RA-514,2023,FASE 1,5.823133333,5.0,5.5,7.5,2.52,5.0,5.896666667,0.8352492236623821,0,1
RA-131,2023,FASE 5,5.952358333,5.0,2.2,7.8,5.0,7.65625,6.8,0.8290745585614006,1,1
RA-587,2023,FASE 1,6.032033333,5.0,2.7,7.0,7.52,6.458333333,6.72,0.8204297665550339,1,1
RA-1071,2023,FASE 1,6.414033333,5.0,3.5,8.6,7.52,5.625,6.396666667,0.8180112564470279,1,1
RA-750,2023,ALFA,5.6857,5.0,3.4,7.7,3.14,4.375,6.32,0.8146514085072135,1,1
RA-822,2023,ALFA,6.4497,5.0,7.1,8.4,2.52,5.625,5.925,0.811421159573217,1,1
RA-851,2023,ALFA,6.1683,5.0,6.6,7.5,2.52,5.625,6.01,0.8041745260205917,1,1
RA-422,2023,FASE 2,5.57,5.0,4.4,7.8,7.52,6.666666667,6.106666667,0.8026401031187119,1,1
RA-747,2023,FASE 1,6.026366667,5.0,3.1,8.0,3.14,6.041666667,6.94,0.7935621497581017,1,1
RA-911,2023,ALFA,5.59545,5.0,3.4,6.7,2.52,5.3125,7.01,0.7924625539213966,1,1
RA-897,2023,ALFA,5.48225,5.0,6.5,8.1,7.52,6.5625,3.32,0.7881684237519383,1,1
RA-1143,2023,FASE 3,6.445933333,5.0,5.3,7.0,6.26,7.5,6.2075,0.7876135477136811,1,1
RA-454,2023,FASE 3,4.603416667,5.0,2.6,7.5,5.0,4.6875,5.54,0.7873503142384723,1,1
RA-699,2023,FASE 1,6.389991667,5.0,6.0,8.3,3.77,5.78125,6.173333333,0.7846539650456189,1,1
RA-754,2023,ALFA,6.0537,5.0,5.6,6.1,2.52,6.875,6.67,0.7833713956157805,1,1
RA-484,2023,FASE 2,5.515466667,5.0,3.6,7.5,2.52,5.416666667,6.8,0.7821652236122527,0,1
RA-497,2023,FASE 2,5.7191,5.0,3.5,8.7,2.52,6.25,6.885,0.7820976270000587,1,1
RA-741,2023,ALFA,6.2707,5.0,5.1,6.9,4.39,5.625,7.095,0.7811954172842266,1,1
RA-850,2023,ALFA,6.06525,5.0,7.3,7.9,6.26,6.5625,6.265,0.7686941619377727,1,1
RA-466,2023,FASE 2,6.595533333,5.0,4.5,7.6,6.89,6.25,7.056666667,0.7663003523504861,1,1
RA-164,2023,FASE 5,5.638666667,5.0,5.8,8.2,2.52,6.875,6.9625,0.7637199434396803,1,1
RA-776,2023,FASE 1,5.567916667,5.0,3.5,7.0,7.52,7.8125,7.223333333,0.7577857729989311,1,1
RA-874,2023,ALFA,5.811,5.0,4.8,8.2,7.52,6.25,6.67,0.7570274177249411,1,1
RA-944,2023,ALFA,7.0687,5.0,7.5,7.6,7.52,5.625,6.67,0.7563705855817209,1,1
RA-387,2023,FASE 3,4.794333333,5.0,3.0,6.8,2.52,6.875,7.0075,0.7498213265594844,1,1
RA-474,2023,FASE 3,5.283583333,5.0,3.3,7.8,5.0,7.1875,6.7575,0.7424572683954263,1,1
RA-847,2023,ALFA,6.5418,5.0,7.6,9.1,2.52,5.0,5.84,0.7398276107845441,1,1
RA-262,2023,FASE 4,4.406458333,5.0,3.8,3.7,5.0,7.03125,6.05,0.737861069924228,1,1
RA-1055,2023,FASE 1,5.9765,5.0,5.5,7.2,7.52,7.291666667,7.276666667,0.7370385118925121,1,1
RA-712,2023,FASE 1,6.331533333,5.0,6.7,5.6,3.14,7.5,6.836666667,0.7369402634892699,1,1
RA-955,2023,ALFA,7.1297,5.0,7.8,8.8,3.14,6.875,7.09,0.7367410118235277,1,1
RA-555,2023,FASE 2,5.898133333,5.0,3.9,8.1,2.52,6.25,6.946666667,0.7338505903765513,1,1
RA-806,2023,ALFA,7.2937,5.0,7.8,8.3,6.27,6.875,7.095,0.7335667773978228,1,1
RA-719,2023,ALFA,6.4137,5.0,5.9,5.3,7.52,5.625,7.095,0.7335404147827658,1,1
RA-192,2023,FASE 4,6.616016667,5.0,6.5,6.2,5.0,7.1875,7.3775,0.7263778237782662,1,1
RA-756,2023,ALFA,7.0927,5.0,6.1,8.7,7.52,5.625,6.59,0.7261793086178105,1,1
RA-631,2023,FASE 2,5.954666667,5.0,7.0,6.4,6.27,7.916666667,6.78,0.7250125589322965,0,1
RA-303,2023,FASE 3,5.914291667,5.0,5.1,7.3,7.52,7.65625,7.05,0.7235962546379423,1,1
RA-798,2023,FASE 1,7.018033333,5.0,6.1,8.1,7.52,6.458333333,6.95,0.7220790221435645,1,1
RA-774,2023,ALFA,5.852,5.0,6.9,9.5,3.14,5.0,6.34,0.7212205581590581,1,1
RA-995,2023,ALFA,6.4782,5.0,5.1,7.9,3.77,6.25,7.18,0.7139951723059441,1,1
RA-1031,2023,FASE 1,7.0602,5.0,5.9,8.8,7.52,6.666666667,7.006666667,0.7138687650422268,1,1
RA-967,2023,ALFA,7.1347,5.0,6.5,8.0,7.52,5.625,7.35,0.7118995607512979,1,1
RA-1170,2023,FASE 3,6.874683333,5.0,5.9,7.7,7.52,7.1875,6.5775,0.7111301642052976,1,1
RA-458,2023,FASE 3,6.312083333,5.0,3.8,6.9,7.52,7.1875,6.2475,0.7009414757695502,1,1
RA-517,2023,FASE 2,6.3104,5.0,6.6,9.0,2.52,6.875,6.7125,0.6983721327818634,0,1
RA-1157,2023,FASE 3,7.086633333,5.0,5.7,8.8,6.26,7.5,7.0025,0.6969273973876141,1,1
RA-594,2023,FASE 1,6.702033333,5.0,5.8,7.1,6.27,6.875,7.336666667,0.6947803867918422,0,1
RA-714,2023,FASE 1,6.078666667,5.0,7.4,8.0,3.14,7.5,7.223333333,0.6930445750421325,1,1
RA-709,2023,ALFA,6.6927,5.0,4.9,7.9,7.52,5.625,6.59,0.6916432072775082,1,1
RA-1147,2023,FASE 3,7.072983333,5.0,6.7,8.3,6.26,7.1875,7.0075,0.689776042696554,1,1
RA-286,2023,FASE 4,5.713333333,5.0,4.7,7.5,5.0,8.125,7.3375,0.6892187788819366,1,1
RA-797,2023,FASE 1,7.373033333,5.0,7.5,8.6,7.52,6.041666667,7.233333333,0.6882743290602529,1,1
RA-805,2023,ALFA,6.492,5.0,6.8,9.1,7.52,6.25,7.175,0.6878174343793753,1,1
RA-663,2023,FASE 1,6.969133333,5.0,7.0,7.4,7.52,6.666666667,7.393333333,0.687415504553883,1,1
RA-137,2023,FASE 5,5.937025,5.0,6.0,6.3,2.52,6.40625,6.88,0.6841823913534757,1,1
RA-965,2023,ALFA,6.4832,5.0,4.7,8.2,6.27,5.0,7.18,0.6835499189398786,1,1
RA-616,2023,FASE 2,5.612,5.0,6.8,6.6,5.02,5.833333333,6.783333333,0.681472176500737,0,1
RA-249,2023,FASE 3,5.444625,5.0,4.9,8.2,5.0,5.15625,6.545,0.6797987401933219,1,1
RA-115,2023,FASE 5,6.319141667,5.0,4.2,7.1,5.0,7.34375,7.215,0.6789783391407358,1,1
