Variavel,Importancia_Media,Desvio
IAN,0.10673648015004694,0.013847184367506515
IPV,0.030630784241287526,0.006376187365425685
Fase,0.026381350232553724,0.0028079794484440783
Idade,0.015793761307984547,0.0018175017759108217
INDE,0.013455909517178713,0.007728699134714499
Ano_Ingresso,0.005973931247454245,0.0011255151196795877
Matematica,0.005615864806236814,0.0016798019509975586
Portugues,0.004250381274451343,0.0009353983962035396
IPS,0.004239961351558723,0.0011267919819894286
IEG,0.0031392385878163064,0.0024126351086335733
IDA,0.0028275881667566708,0.0013614329160871112
Ingles,0.0017188136444154104,0.0007099919273275902
IAA,0.0009827881819129377,0.0006717643550305609
Ano_Referencia,0.0,0.0
Gênero,0.0,0.0
Instituicao,0.0,0.0
IPP,0.0,0.0
Pedra_Atual,-0.003845898813075991,0.001519052151605316
